TTLAYER OUTPUT FILE
--------------------------------------------------------------------------------
 input 
 Maximum delta in km:   15.0
 Delta increment in km:    0.0
 Hypocentral depth in km:    5.0
 Phase type:  
--------------------------------------------------------------------------------
 output (layer=layer model, grad=gradient model
    distance  tp (layer)   tp (grad)  ts (layer)   ts (grad)
       1.440       2.406       5.887       2.718       5.376
       1.450       2.407       5.889       2.719       5.379
       1.460       2.408       5.891       2.720       5.382
       1.470       2.409       5.892       2.721       5.385
       1.480       2.410       5.894       2.723       5.388
       1.490       2.411       5.896       2.724       5.391
       1.500       2.411       5.897       2.725       5.394
       1.510       2.412       5.899       2.727       5.398
       1.520       2.413       5.901       2.728       5.401
       1.530       2.414       5.903       2.729       5.404
       1.540       2.415       5.904       2.731       5.407
       1.550       2.416       5.906       2.732       5.410
       1.560       2.417       5.908       2.733       5.413
       1.570       2.417       5.910       2.735       5.416
       1.580       2.418       5.911       2.736       5.419
       1.590       2.419       5.913       2.737       5.423
       1.600       2.420       5.915       2.739       5.426
       1.610       2.421       5.916       2.740       5.429
       1.620       2.422       5.918       2.741       5.432
       1.630       2.423       5.920       2.743       5.435
       1.640       2.424       5.922       2.744       5.438
       1.650       2.425       5.923       2.746       5.441
       1.660       2.425       5.925       2.747       5.444
       1.670       2.426       5.927       2.748       5.448
       1.680       2.427       5.929       2.750       5.451
       1.690       2.428       5.930       2.751       5.454
       1.700       2.429       5.932       2.753       5.457
       1.710       2.430       5.934       2.754       5.460
       1.720       2.431       5.935       2.756       5.463
       1.730       2.432       5.937       2.757       5.466
       1.740       2.433       5.939       2.759       5.469
       1.750       2.434       5.941       2.760       5.473
       1.760       2.435       5.942       2.761       5.476
       1.770       2.436       5.944       2.763       5.479
       1.780       2.437       5.946       2.764       5.482
       1.790       2.438       5.947       2.766       5.485
       1.800       2.439       5.949       2.767       5.488
       1.810       2.440       5.951       2.769       5.491
       1.820       2.441       5.953       2.771       5.495
       1.830       2.442       5.954       2.772       5.498
       1.840       2.443       5.956       2.774       5.501
       1.850       2.444       5.958       2.775       5.504
       1.860       2.445       5.960       2.777       5.507
       1.870       2.446       5.961       2.778       5.510
       1.880       2.447       5.963       2.780       5.513
       1.890       2.448       5.965       2.781       5.516
       1.900       2.449       5.966       2.783       5.520
       1.910       2.450       5.968       2.785       5.523
       1.920       2.451       5.970       2.786       5.526
       1.930       2.452       5.972       2.788       5.529
       1.940       2.453       5.973       2.789       5.532
       1.950       2.454       5.975       2.791       5.535
       1.960       2.455       5.977       2.793       5.538
       1.970       2.456       5.979       2.794       5.541
       1.980       2.457       5.980       2.796       5.545
       1.990       2.458       5.982       2.798       5.548
       2.000       2.459       5.984       2.799       5.551
       2.010       2.460       5.985       2.801       5.554
       2.020       2.461       5.987       2.803       5.557
       2.030       2.462       5.989       2.804       5.560
       2.040       2.463       5.991       2.806       5.563
       2.050       2.464       5.992       2.808       5.566
       2.060       2.465       5.994       2.809       5.570
       2.070       2.466       5.996       2.811       5.573
       2.080       2.467       5.998       2.813       5.576
       2.090       2.468       5.999       2.814       5.579
       2.100       2.470       6.001       2.816       5.582
       2.110       2.471       6.003       2.818       5.585
       2.120       2.472       6.004       2.819       5.588
       2.130       2.473       6.006       2.821       5.592
       2.140       2.474       6.008       2.823       5.595
