TTLAYER OUTPUT FILE
--------------------------------------------------------------------------------
 input 
 Maximum delta in km:   15.0
 Delta increment in km:    0.0
 Hypocentral depth in km:    5.0
 Phase type:  
--------------------------------------------------------------------------------
 output (layer=layer model, grad=gradient model
    distance  tp (layer)   tp (grad)  ts (layer)   ts (grad)
       6.090       3.046       6.690       3.803       6.830
       6.100       3.048       6.691       3.806       6.834
       6.110       3.049       6.693       3.809       6.837
       6.120       3.051       6.695       3.812       6.840
       6.130       3.052       6.697       3.815       6.843
       6.140       3.054       6.698       3.818       6.846
       6.150       3.056       6.700       3.821       6.849
       6.160       3.057       6.702       3.823       6.852
       6.170       3.059       6.704       3.826       6.855
       6.180       3.060       6.705       3.829       6.859
       6.190       3.062       6.707       3.832       6.862
       6.200       3.064       6.709       3.835       6.865
       6.210       3.065       6.710       3.838       6.868
       6.220       3.067       6.712       3.841       6.871
       6.230       3.069       6.714       3.844       6.874
       6.240       3.070       6.716       3.846       6.877
       6.250       3.072       6.717       3.849       6.880
       6.260       3.073       6.719       3.852       6.884
       6.270       3.075       6.721       3.855       6.887
       6.280       3.077       6.723       3.858       6.890
       6.290       3.078       6.724       3.861       6.893
       6.300       3.080       6.726       3.864       6.896
       6.310       3.082       6.728       3.867       6.899
       6.320       3.083       6.729       3.870       6.902
       6.330       3.085       6.731       3.872       6.906
       6.340       3.086       6.733       3.875       6.909
       6.350       3.088       6.735       3.878       6.912
       6.360       3.090       6.736       3.881       6.915
       6.370       3.091       6.738       3.884       6.918
       6.380       3.093       6.740       3.887       6.921
       6.390       3.095       6.742       3.890       6.924
       6.400       3.096       6.743       3.893       6.927
       6.410       3.098       6.745       3.896       6.931
       6.420       3.099       6.747       3.899       6.934
       6.430       3.101       6.748       3.901       6.937
       6.440       3.103       6.750       3.904       6.940
       6.450       3.104       6.752       3.907       6.943
       6.460       3.106       6.754       3.910       6.946
       6.470       3.108       6.755       3.913       6.949
       6.480       3.109       6.757       3.916       6.952
       6.490       3.111       6.759       3.919       6.956
       6.500       3.112       6.760       3.922       6.959
       6.510       3.114       6.762       3.925       6.962
       6.520       3.116       6.764       3.928       6.965
       6.530       3.117       6.766       3.930       6.968
       6.540       3.119       6.767       3.933       6.971
       6.550       3.121       6.769       3.936       6.974
       6.560       3.122       6.771       3.939       6.977
       6.570       3.124       6.773       3.942       6.981
       6.580       3.126       6.774       3.945       6.984
       6.590       3.127       6.776       3.948       6.987
       6.600       3.129       6.778       3.951       6.990
       6.610       3.130       6.779       3.954       6.993
       6.620       3.132       6.781       3.957       6.996
       6.630       3.134       6.783       3.960       6.999
       6.640       3.135       6.785       3.963       7.003
       6.650       3.137       6.786       3.965       7.006
       6.660       3.139       6.788       3.968       7.009
       6.670       3.140       6.790       3.971       7.012
       6.680       3.142       6.792       3.974       7.015
       6.690       3.143       6.793       3.977       7.018
       6.700       3.145       6.795       3.980       7.021
       6.710       3.147       6.797       3.983       7.024
       6.720       3.148       6.798       3.986       7.028
       6.730       3.150       6.800       3.989       7.031
       6.740       3.152       6.802       3.992       7.034
       6.750       3.153       6.804       3.995       7.037
       6.760       3.155       6.805       3.998       7.040
       6.770       3.157       6.807       4.000       7.043
       6.780       3.158       6.809       4.003       7.046
       6.790       3.160       6.811       4.006       7.049
       6.800       3.161       6.812       4.009       7.053
       6.810       3.163       6.814       4.012       7.056
       6.820       3.165       6.816       4.015       7.059
       6.830       3.166       6.817       4.018       7.062
       6.840       3.168       6.819       4.021       7.065
       6.850       3.170       6.821       4.024       7.068
       6.860       3.171       6.823       4.027       7.071
       6.870       3.173       6.824       4.030       7.074
       6.880       3.175       6.826       4.033       7.078
       6.890       3.176       6.828       4.036       7.081
       6.900       3.178       6.830       4.039       7.084
       6.910       3.180       6.831       4.041       7.087
       6.920       3.181       6.833       4.044       7.090
       6.930       3.183       6.835       4.047       7.093
       6.940       3.184       6.836       4.050       7.096
       6.950       3.186       6.838       4.053       7.099
       6.960       3.188       6.840       4.056       7.103
       6.970       3.189       6.842       4.059       7.106
       6.980       3.191       6.843       4.062       7.109
       6.990       3.193       6.845       4.065       7.112
       7.000       3.194       6.847       4.068       7.115
       7.010       3.196       6.849       4.071       7.118
       7.020       3.198       6.850       4.074       7.121
       7.030       3.199       6.852       4.077       7.125
       7.040       3.201       6.854       4.080       7.128
       7.050       3.203       6.855       4.083       7.131
       7.060       3.204       6.857       4.086       7.134
       7.070       3.206       6.859       4.088       7.137
       7.080       3.207       6.861       4.091       7.140
       7.090       3.209       6.862       4.094       7.143
       7.100       3.211       6.864       4.097       7.146
       7.110       3.212       6.866       4.100       7.150
       7.120       3.214       6.868       4.103       7.153
       7.130       3.216       6.869       4.106       7.156
       7.140       3.217       6.871       4.109       7.159
       7.150       3.219       6.873       4.112       7.162
       7.160       3.221       6.874       4.115       7.165
       7.170       3.222       6.876       4.118       7.168
       7.180       3.224       6.878       4.121       7.171
       7.190       3.226       6.880       4.124       7.175
       7.200       3.227       6.881       4.127       7.178
       7.210       3.229       6.883       4.130       7.181
       7.220       3.231       6.885       4.133       7.184
       7.230       3.232       6.886       4.136       7.187
       7.240       3.234       6.888       4.139       7.190
       7.250       3.235       6.890       4.142       7.193
       7.260       3.237       6.892       4.145       7.196
       7.270       3.239       6.893       4.147       7.200
       7.280       3.240       6.895       4.150       7.203
       7.290       3.242       6.897       4.153       7.206
       7.300       3.244       6.899       4.156       7.209
       7.310       3.245       6.900       4.159       7.212
       7.320       3.247       6.902       4.162       7.215
       7.330       3.249       6.904       4.165       7.218
       7.340       3.250       6.905       4.168       7.222
       7.350       3.252       6.907       4.171       7.225
       7.360       3.254       6.909       4.174       7.228
       7.370       3.255       6.911       4.177       7.231
       7.380       3.257       6.912       4.180       7.234
       7.390       3.259       6.914       4.183       7.237
       7.400       3.260       6.916       4.186       7.240
       7.410       3.262       6.918       4.189       7.243
       7.420       3.264       6.919       4.192       7.247
       7.430       3.265       6.921       4.195       7.250
       7.440       3.267       6.923       4.198       7.253
       7.450       3.269       6.924       4.201       7.256
       7.460       3.270       6.926       4.204       7.259
       7.470       3.272       6.928       4.207       7.262
       7.480       3.273       6.930       4.210       7.265
       7.490       3.275       6.931       4.213       7.268
       7.500       3.277       6.933       4.216       7.272
       7.510       3.278       6.935       4.219       7.275
       7.520       3.280       6.937       4.222       7.278
       7.530       3.282       6.938       4.224       7.281
       7.540       3.283       6.940       4.227       7.284
       7.550       3.285       6.942       4.230       7.287
       7.560       3.287       6.943       4.233       7.290
       7.570       3.288       6.945       4.236       7.293
       7.580       3.290       6.947       4.239       7.297
       7.590       3.292       6.949       4.242       7.300
       7.600       3.293       6.950       4.245       7.303
       7.610       3.295       6.952       4.248       7.306
       7.620       3.297       6.954       4.251       7.309
       7.630       3.298       6.956       4.254       7.312
       7.640       3.300       6.957       4.257       7.315
       7.650       3.302       6.959       4.260       7.318
       7.660       3.303       6.961       4.263       7.322
       7.670       3.305       6.962       4.266       7.325
       7.680       3.307       6.964       4.269       7.328
       7.690       3.308       6.966       4.272       7.331
       7.700       3.310       6.968       4.275       7.334
       7.710       3.312       6.969       4.278       7.337
       7.720       3.313       6.971       4.281       7.340
       7.730       3.315       6.973       4.284       7.344
       7.740       3.317       6.975       4.287       7.347
       7.750       3.318       6.976       4.290       7.350
       7.760       3.320       6.978       4.293       7.353
       7.770       3.322       6.980       4.296       7.356
       7.780       3.323       6.981       4.299       7.359
       7.790       3.325       6.983       4.302       7.362
       7.800       3.327       6.985       4.305       7.365
       7.810       3.328       6.987       4.308       7.369
       7.820       3.330       6.988       4.311       7.372
       7.830       3.331       6.990       4.314       7.375
       7.840       3.333       6.992       4.317       7.378
       7.850       3.335       6.994       4.320       7.381
       7.860       3.336       6.995       4.323       7.384
       7.870       3.338       6.997       4.326       7.387
       7.880       3.340       6.999       4.329       7.390
       7.890       3.341       7.000       4.332       7.394
       7.900       3.343       7.002       4.335       7.397
       7.910       3.345       7.004       4.338       7.400
       7.920       3.346       7.006       4.341       7.403
       7.930       3.348       7.007       4.344       7.406
       7.940       3.350       7.009       4.347       7.409
       7.950       3.351       7.011       4.350       7.412
       7.960       3.353       7.013       4.353       7.415
       7.970       3.355       7.014       4.356       7.419
       7.980       3.356       7.016       4.358       7.422
       7.990       3.358       7.018       4.361       7.425
       8.000       3.360       7.019       4.364       7.428
       8.010       3.361       7.021       4.367       7.431
       8.020       3.363       7.023       4.370       7.434
       8.030       3.365       7.025       4.373       7.437
       8.040       3.366       7.026       4.376       7.441
       8.050       3.368       7.028       4.379       7.444
       8.060       3.370       7.030       4.382       7.447
       8.070       3.371       7.031       4.385       7.450
       8.080       3.373       7.033       4.388       7.453
       8.090       3.375       7.035       4.391       7.456
       8.100       3.376       7.037       4.394       7.459
       8.110       3.378       7.038       4.397       7.462
       8.120       3.380       7.040       4.400       7.466
       8.130       3.381       7.042       4.403       7.469
       8.140       3.383       7.044       4.406       7.472
       8.150       3.385       7.045       4.409       7.475
       8.160       3.386       7.047       4.412       7.478
       8.170       3.388       7.049       4.415       7.481
       8.180       3.390       7.050       4.418       7.484
       8.190       3.391       7.052       4.421       7.487
       8.200       3.393       7.054       4.424       7.491
       8.210       3.395       7.056       4.427       7.494
       8.220       3.396       7.057       4.430       7.497
       8.230       3.398       7.059       4.433       7.500
       8.240       3.400       7.061       4.436       7.503
       8.250       3.401       7.063       4.439       7.506
       8.260       3.403       7.064       4.442       7.509
       8.270       3.405       7.066       4.445       7.512
       8.280       3.406       7.068       4.448       7.516
       8.290       3.408       7.069       4.451       7.519
       8.300       3.410       7.071       4.454       7.522
       8.310       3.411       7.073       4.457       7.525
       8.320       3.413       7.075       4.460       7.528
       8.330       3.415       7.076       4.463       7.531
       8.340       3.416       7.078       4.466       7.534
       8.350       3.418       7.080       4.469       7.537
       8.360       3.420       7.082       4.472       7.541
       8.370       3.423       7.083       4.475       7.544
       8.380       3.425       7.085       4.478       7.547
       8.390       3.426       7.087       4.481       7.550
       8.400       3.428       7.088       4.484       7.553
       8.410       3.430       7.090       4.487       7.556
       8.420       3.431       7.092       4.490       7.559
       8.430       3.433       7.094       4.493       7.563
       8.440       3.435       7.095       4.496       7.566
       8.450       3.436       7.097       4.499       7.569
       8.460       3.438       7.099       4.502       7.572
       8.470       3.440       7.101       4.505       7.575
       8.480       3.441       7.102       4.508       7.578
       8.490       3.443       7.104       4.511       7.581
       8.500       3.445       7.106       4.514       7.584
       8.510       3.446       7.107       4.517       7.588
       8.520       3.448       7.109       4.520       7.591
       8.530       3.450       7.111       4.523       7.594
       8.540       3.451       7.113       4.526       7.597
       8.550       3.453       7.114       4.529       7.600
       8.560       3.455       7.116       4.532       7.603
       8.570       3.456       7.118       4.535       7.606
       8.580       3.458       7.120       4.538       7.609
       8.590       3.460       7.121       4.541       7.613
       8.600       3.461       7.123       4.544       7.616
       8.610       3.463       7.125       4.547       7.619
       8.620       3.465       7.126       4.550       7.622
       8.630       3.466       7.128       4.553       7.625
       8.640       3.468       7.130       4.556       7.628
       8.650       3.470       7.132       4.559       7.631
       8.660       3.471       7.133       4.562       7.634
       8.670       3.473       7.135       4.566       7.638
       8.680       3.475       7.137       4.569       7.641
       8.690       3.476       7.139       4.572       7.644
       8.700       3.478       7.140       4.575       7.647
       8.710       3.480       7.142       4.578       7.650
       8.720       3.481       7.144       4.581       7.653
       8.730       3.483       7.145       4.584       7.656
       8.740       3.485       7.147       4.587       7.660
       8.750       3.486       7.149       4.590       7.663
       8.760       3.488       7.151       4.593       7.666
       8.770       3.490       7.152       4.596       7.669
       8.780       3.491       7.154       4.599       7.672
       8.790       3.493       7.156       4.602       7.675
       8.800       3.495       7.157       4.605       7.678
       8.810       3.496       7.159       4.608       7.681
       8.820       3.498       7.161       4.611       7.685
       8.830       3.500       7.163       4.614       7.688
       8.840       3.501       7.164       4.617       7.691
       8.850       3.503       7.166       4.620       7.694
       8.860       3.505       7.168       4.623       7.697
       8.870       3.506       7.170       4.626       7.700
       8.880       3.508       7.171       4.629       7.703
       8.890       3.510       7.173       4.632       7.706
       8.900       3.511       7.175       4.635       7.710
       8.910       3.513       7.176       4.638       7.713
       8.920       3.515       7.178       4.641       7.716
       8.930       3.517       7.180       4.644       7.719
       8.940       3.518       7.182       4.647       7.722
       8.950       3.520       7.183       4.650       7.725
       8.960       3.522       7.185       4.653       7.728
       8.970       3.523       7.187       4.656       7.731
       8.980       3.525       7.189       4.659       7.735
       8.990       3.527       7.190       4.662       7.738
       9.000       3.528       7.192       4.665       7.741
       9.010       3.530       7.194       4.668       7.744
       9.020       3.532       7.195       4.671       7.747
       9.030       3.533       7.197       4.674       7.750
       9.040       3.535       7.199       4.677       7.753
       9.050       3.537       7.201       4.680       7.756
       9.060       3.538       7.202       4.683       7.760
       9.070       3.540       7.204       4.686       7.763
       9.080       3.542       7.206       4.689       7.766
       9.090       3.543       7.208       4.692       7.769
       9.100       3.545       7.209       4.695       7.772
       9.110       3.547       7.211       4.698       7.775
       9.120       3.548       7.213       4.701       7.778
       9.130       3.550       7.214       4.704       7.782
       9.140       3.552       7.216       4.707       7.785
       9.150       3.553       7.218       4.710       7.788
       9.160       3.555       7.220       4.713       7.791
       9.170       3.557       7.221       4.716       7.794
       9.180       3.558       7.223       4.719       7.797
       9.190       3.560       7.225       4.723       7.800
       9.200       3.562       7.227       4.726       7.803
       9.210       3.563       7.228       4.729       7.807
       9.220       3.565       7.230       4.732       7.810
       9.230       3.567       7.232       4.735       7.813
       9.240       3.568       7.233       4.738       7.816
       9.250       3.570       7.235       4.741       7.819
       9.260       3.572       7.237       4.744       7.822
       9.270       3.573       7.239       4.747       7.825
       9.280       3.575       7.240       4.750       7.828
       9.290       3.577       7.242       4.753       7.832
       9.300       3.578       7.244       4.756       7.835
       9.310       3.580       7.246       4.759       7.838
       9.320       3.582       7.247       4.762       7.841
       9.330       3.584       7.249       4.765       7.844
       9.340       3.585       7.251       4.768       7.847
       9.350       3.587       7.252       4.771       7.850
       9.360       3.589       7.254       4.774       7.853
       9.370       3.590       7.256       4.777       7.857
       9.380       3.592       7.258       4.780       7.860
       9.390       3.594       7.259       4.783       7.863
       9.400       3.595       7.261       4.786       7.866
       9.410       3.597       7.263       4.789       7.869
       9.420       3.599       7.265       4.792       7.872
       9.430       3.600       7.266       4.795       7.875
       9.440       3.602       7.268       4.798       7.879
       9.450       3.604       7.270       4.801       7.882
       9.460       3.605       7.271       4.804       7.885
       9.470       3.607       7.273       4.807       7.888
       9.480       3.609       7.275       4.810       7.891
       9.490       3.610       7.277       4.813       7.894
       9.500       3.612       7.278       4.816       7.897
       9.510       3.614       7.280       4.819       7.900
       9.520       3.615       7.282       4.823       7.904
       9.530       3.617       7.284       4.826       7.907
       9.540       3.619       7.285       4.829       7.910
       9.550       3.620       7.287       4.832       7.913
       9.560       3.622       7.289       4.835       7.916
       9.570       3.624       7.290       4.838       7.919
       9.580       3.626       7.292       4.841       7.922
       9.590       3.627       7.294       4.844       7.925
       9.600       3.629       7.296       4.847       7.929
       9.610       3.631       7.297       4.850       7.932
       9.620       3.632       7.299       4.853       7.935
       9.630       3.634       7.301       4.856       7.938
       9.640       3.636       7.302       4.859       7.941
       9.650       3.637       7.304       4.862       7.944
       9.660       3.639       7.306       4.865       7.947
       9.670       3.641       7.308       4.868       7.950
       9.680       3.642       7.309       4.871       7.954
       9.690       3.644       7.311       4.874       7.957
       9.700       3.646       7.313       4.877       7.960
       9.710       3.647       7.315       4.880       7.963
       9.720       3.649       7.316       4.883       7.966
       9.730       3.651       7.318       4.886       7.969
       9.740       3.652       7.320       4.889       7.972
       9.750       3.654       7.321       4.892       7.975
       9.760       3.656       7.323       4.895       7.979
       9.770       3.657       7.325       4.898       7.982
       9.780       3.659       7.327       4.901       7.985
       9.790       3.661       7.328       4.905       7.988
       9.800       3.662       7.330       4.908       7.991
       9.810       3.664       7.332       4.911       7.994
       9.820       3.666       7.334       4.914       7.997
       9.830       3.668       7.335       4.917       8.001
       9.840       3.669       7.337       4.920       8.004
       9.850       3.671       7.339       4.923       8.007
       9.860       3.673       7.340       4.926       8.010
       9.870       3.674       7.342       4.929       8.013
       9.880       3.676       7.344       4.932       8.016
       9.890       3.678       7.346       4.935       8.019
       9.900       3.679       7.347       4.938       8.022
       9.910       3.681       7.349       4.941       8.026
       9.920       3.683       7.351       4.944       8.029
       9.930       3.684       7.353       4.947       8.032
       9.940       3.686       7.354       4.950       8.035
       9.950       3.688       7.356       4.953       8.038
       9.960       3.689       7.358       4.956       8.041
       9.970       3.691       7.359       4.959       8.044
       9.980       3.693       7.361       4.962       8.047
       9.990       3.694       7.363       4.965       8.051
      10.000       3.696       7.365       4.968       8.054
      10.010       3.698       7.366       4.971       8.057
      10.020       3.700       7.368       4.974       8.060
      10.030       3.701       7.370       4.978       8.063
      10.040       3.703       7.372       4.981       8.066
      10.050       3.705       7.373       4.984       8.069
      10.060       3.706       7.375       4.987       8.072
      10.070       3.708       7.377       4.990       8.076
      10.080       3.710       7.378       4.993       8.079
      10.090       3.711       7.380       4.996       8.082
      10.100       3.713       7.382       4.999       8.085
      10.110       3.715       7.384       5.002       8.088
      10.120       3.716       7.385       5.005       8.091
      10.130       3.718       7.387       5.008       8.094
      10.140       3.720       7.389       5.011       8.098
      10.150       3.721       7.391       5.014       8.101
      10.160       3.723       7.392       5.017       8.104
      10.170       3.725       7.394       5.020       8.107
      10.180       3.726       7.396       5.023       8.110
      10.190       3.728       7.397       5.026       8.113
      10.200       3.730       7.399       5.029       8.116
      10.210       3.732       7.401       5.032       8.119
      10.220       3.733       7.403       5.035       8.123
      10.230       3.735       7.404       5.038       8.126
      10.240       3.737       7.406       5.042       8.129
      10.250       3.738       7.408       5.045       8.132
      10.260       3.740       7.410       5.048       8.135
      10.270       3.742       7.411       5.051       8.138
      10.280       3.743       7.413       5.054       8.141
      10.290       3.745       7.415       5.057       8.144
      10.300       3.747       7.416       5.060       8.148
      10.310       3.748       7.418       5.063       8.151
      10.320       3.750       7.420       5.066       8.154
      10.330       3.752       7.422       5.069       8.157
      10.340       3.753       7.423       5.072       8.160
      10.350       3.755       7.425       5.075       8.163
      10.360       3.757       7.427       5.078       8.166
      10.370       3.759       7.428       5.081       8.169
      10.380       3.760       7.430       5.084       8.173
      10.390       3.762       7.432       5.087       8.176
      10.400       3.764       7.434       5.090       8.179
      10.410       3.765       7.435       5.093       8.182
      10.420       3.767       7.437       5.096       8.185
      10.430       3.769       7.439       5.099       8.188
      10.440       3.770       7.441       5.103       8.191
      10.450       3.772       7.442       5.106       8.194
      10.460       3.774       7.444       5.109       8.198
      10.470       3.775       7.446       5.112       8.201
      10.480       3.777       7.447       5.115       8.204
      10.490       3.779       7.449       5.118       8.207
      10.500       3.780       7.451       5.121       8.210
      10.510       3.782       7.453       5.124       8.213
      10.520       3.784       7.454       5.127       8.216
      10.530       3.786       7.456       5.130       8.220
      10.540       3.787       7.458       5.133       8.223
      10.550       3.789       7.460       5.136       8.226
      10.560       3.791       7.461       5.139       8.229
      10.570       3.792       7.463       5.142       8.232
      10.580       3.794       7.465       5.145       8.235
      10.590       3.796       7.466       5.148       8.238
      10.600       3.797       7.468       5.151       8.241
      10.610       3.799       7.470       5.154       8.245
      10.620       3.801       7.472       5.157       8.248
      10.630       3.802       7.473       5.161       8.251
      10.640       3.804       7.475       5.164       8.254
      10.650       3.806       7.477       5.167       8.257
      10.660       3.808       7.479       5.170       8.260
      10.670       3.809       7.480       5.173       8.263
      10.680       3.811       7.482       5.176       8.266
      10.690       3.813       7.484       5.179       8.270
      10.700       3.814       7.485       5.182       8.273
      10.710       3.816       7.487       5.185       8.276
      10.720       3.818       7.489       5.188       8.279
      10.730       3.819       7.491       5.191       8.282
      10.740       3.821       7.492       5.194       8.285
      10.750       3.823       7.494       5.197       8.288
      10.760       3.824       7.496       5.200       8.291
      10.770       3.826       7.498       5.203       8.295
      10.780       3.828       7.499       5.206       8.298
      10.790       3.829       7.501       5.209       8.301
      10.800       3.831       7.503       5.212       8.304
      10.810       3.833       7.504       5.216       8.307
      10.820       3.835       7.506       5.219       8.310
      10.830       3.836       7.508       5.222       8.313
      10.840       3.838       7.510       5.225       8.317
      10.850       3.840       7.511       5.228       8.320
      10.860       3.841       7.513       5.231       8.323
      10.870       3.843       7.515       5.234       8.326
      10.880       3.845       7.517       5.237       8.329
      10.890       3.846       7.518       5.240       8.332
      10.900       3.848       7.520       5.243       8.335
      10.910       3.850       7.522       5.246       8.338
      10.920       3.851       7.523       5.249       8.342
      10.930       3.853       7.525       5.252       8.345
      10.940       3.855       7.527       5.255       8.348
      10.950       3.857       7.529       5.258       8.351
      10.960       3.858       7.530       5.261       8.354
      10.970       3.860       7.532       5.264       8.357
      10.980       3.862       7.534       5.268       8.360
      10.990       3.863       7.536       5.271       8.363
      11.000       3.865       7.537       5.274       8.367
      11.010       3.867       7.539       5.277       8.370
      11.020       3.868       7.541       5.280       8.373
      11.030       3.870       7.542       5.283       8.376
      11.040       3.872       7.544       5.286       8.379
      11.050       3.873       7.546       5.289       8.382
      11.060       3.875       7.548       5.292       8.385
      11.070       3.877       7.549       5.295       8.388
      11.080       3.879       7.551       5.298       8.392
      11.090       3.880       7.553       5.301       8.395
      11.100       3.882       7.555       5.304       8.398
      11.110       3.884       7.556       5.307       8.401
      11.120       3.885       7.558       5.310       8.404
      11.130       3.887       7.560       5.313       8.407
      11.140       3.889       7.561       5.317       8.410
      11.150       3.890       7.563       5.320       8.414
      11.160       3.892       7.565       5.323       8.417
      11.170       3.894       7.567       5.326       8.420
      11.180       3.895       7.568       5.329       8.423
      11.190       3.897       7.570       5.332       8.426
      11.200       3.899       7.572       5.335       8.429
      11.210       3.901       7.573       5.338       8.432
      11.220       3.902       7.575       5.341       8.435
      11.230       3.904       7.577       5.344       8.439
      11.240       3.906       7.579       5.347       8.442
      11.250       3.907       7.580       5.350       8.445
      11.260       3.909       7.582       5.353       8.448
      11.270       3.911       7.584       5.356       8.451
      11.280       3.912       7.586       5.359       8.454
      11.290       3.914       7.587       5.362       8.457
      11.300       3.916       7.589       5.366       8.460
      11.310       3.917       7.591       5.369       8.464
      11.320       3.919       7.592       5.372       8.467
      11.330       3.921       7.594       5.375       8.470
      11.340       3.923       7.596       5.378       8.473
      11.350       3.924       7.598       5.381       8.476
      11.360       3.926       7.599       5.384       8.479
      11.370       3.928       7.601       5.387       8.482
      11.380       3.929       7.603       5.390       8.485
      11.390       3.931       7.605       5.393       8.489
      11.400       3.933       7.606       5.396       8.492
      11.410       3.934       7.608       5.399       8.495
      11.420       3.936       7.610       5.402       8.498
      11.430       3.938       7.611       5.405       8.501
      11.440       3.940       7.613       5.408       8.504
      11.450       3.941       7.615       5.412       8.507
      11.460       3.943       7.617       5.415       8.510
      11.470       3.945       7.618       5.418       8.514
      11.480       3.946       7.620       5.421       8.517
      11.490       3.948       7.622       5.424       8.520
      11.500       3.950       7.624       5.427       8.523
      11.510       3.951       7.625       5.430       8.526
      11.520       3.953       7.627       5.433       8.529
      11.530       3.955       7.629       5.436       8.532
      11.540       3.956       7.630       5.439       8.536
      11.550       3.958       7.632       5.442       8.539
      11.560       3.960       7.634       5.445       8.542
      11.570       3.962       7.636       5.448       8.545
      11.580       3.963       7.637       5.451       8.548
      11.590       3.965       7.639       5.454       8.551
      11.600       3.967       7.641       5.458       8.554
      11.610       3.968       7.643       5.461       8.557
      11.620       3.970       7.644       5.464       8.561
      11.630       3.972       7.646       5.467       8.564
      11.640       3.973       7.648       5.470       8.567
      11.650       3.975       7.649       5.473       8.570
      11.660       3.977       7.651       5.476       8.573
      11.670       3.979       7.653       5.479       8.576
      11.680       3.980       7.655       5.482       8.579
      11.690       3.982       7.656       5.485       8.582
      11.700       3.984       7.658       5.488       8.586
      11.710       3.985       7.660       5.491       8.589
      11.720       3.987       7.662       5.494       8.592
      11.730       3.989       7.663       5.497       8.595
      11.740       3.990       7.665       5.501       8.598
      11.750       3.992       7.667       5.504       8.601
      11.760       3.994       7.668       5.507       8.604
      11.770       3.995       7.670       5.510       8.607
      11.780       3.997       7.672       5.513       8.611
      11.790       3.999       7.674       5.516       8.614
      11.800       4.001       7.675       5.519       8.617
      11.810       4.002       7.677       5.522       8.620
      11.820       4.004       7.679       5.525       8.623
      11.830       4.006       7.681       5.528       8.626
      11.840       4.007       7.682       5.531       8.629
      11.850       4.009       7.684       5.534       8.633
      11.860       4.011       7.686       5.537       8.636
      11.870       4.012       7.687       5.540       8.639
      11.880       4.014       7.689       5.543       8.642
      11.890       4.016       7.691       5.547       8.645
      11.900       4.018       7.693       5.550       8.648
      11.910       4.019       7.694       5.553       8.651
      11.920       4.021       7.696       5.556       8.654
      11.930       4.023       7.698       5.559       8.658
      11.940       4.024       7.700       5.562       8.661
      11.950       4.026       7.701       5.565       8.664
      11.960       4.028       7.703       5.568       8.667
      11.970       4.029       7.705       5.571       8.670
      11.980       4.031       7.706       5.574       8.673
      11.990       4.033       7.708       5.577       8.676
      12.000       4.035       7.710       5.580       8.679
      12.010       4.036       7.712       5.583       8.683
      12.020       4.038       7.713       5.587       8.686
      12.030       4.040       7.715       5.590       8.689
      12.040       4.041       7.717       5.593       8.692
      12.050       4.043       7.718       5.596       8.695
      12.060       4.045       7.720       5.599       8.698
      12.070       4.046       7.722       5.602       8.701
      12.080       4.048       7.724       5.605       8.704
      12.090       4.050       7.725       5.608       8.708
      12.100       4.051       7.727       5.611       8.711
      12.110       4.053       7.729       5.614       8.714
      12.120       4.055       7.731       5.617       8.717
      12.130       4.057       7.732       5.620       8.720
      12.140       4.058       7.734       5.623       8.723
      12.150       4.060       7.736       5.626       8.726
      12.160       4.062       7.737       5.630       8.729
      12.170       4.063       7.739       5.633       8.733
      12.180       4.065       7.741       5.636       8.736
      12.190       4.067       7.743       5.639       8.739
      12.200       4.068       7.744       5.642       8.742
      12.210       4.070       7.746       5.645       8.745
      12.220       4.072       7.748       5.648       8.748
      12.230       4.074       7.750       5.651       8.751
      12.240       4.075       7.751       5.654       8.755
      12.250       4.077       7.753       5.657       8.758
      12.260       4.079       7.755       5.660       8.761
      12.270       4.080       7.756       5.663       8.764
      12.280       4.082       7.758       5.666       8.767
      12.290       4.084       7.760       5.670       8.770
      12.300       4.085       7.762       5.673       8.773
      12.310       4.087       7.763       5.676       8.776
      12.320       4.089       7.765       5.679       8.780
      12.330       4.091       7.767       5.682       8.783
      12.340       4.092       7.769       5.685       8.786
      12.350       4.094       7.770       5.688       8.789
      12.360       4.096       7.772       5.691       8.792
      12.370       4.097       7.774       5.694       8.795
      12.380       4.099       7.775       5.697       8.798
      12.390       4.101       7.777       5.700       8.801
      12.400       4.102       7.779       5.703       8.805
      12.410       4.104       7.781       5.706       8.808
      12.420       4.106       7.782       5.710       8.811
      12.430       4.108       7.784       5.713       8.814
      12.440       4.109       7.786       5.716       8.817
      12.450       4.111       7.788       5.719       8.820
      12.460       4.113       7.789       5.722       8.823
      12.470       4.114       7.791       5.725       8.826
      12.480       4.116       7.793       5.728       8.830
      12.490       4.118       7.794       5.731       8.833
      12.500       4.119       7.796       5.734       8.836
      12.510       4.121       7.798       5.737       8.839
      12.520       4.123       7.800       5.740       8.842
      12.530       4.125       7.801       5.743       8.845
      12.540       4.126       7.803       5.746       8.848
      12.550       4.128       7.805       5.750       8.852
      12.560       4.130       7.807       5.753       8.855
      12.570       4.131       7.808       5.756       8.858
      12.580       4.133       7.810       5.759       8.861
      12.590       4.135       7.812       5.762       8.864
      12.600       4.136       7.813       5.765       8.867
      12.610       4.138       7.815       5.768       8.870
      12.620       4.140       7.817       5.771       8.873
      12.630       4.142       7.819       5.774       8.877
      12.640       4.143       7.820       5.777       8.880
      12.650       4.145       7.822       5.780       8.883
      12.660       4.147       7.824       5.783       8.886
      12.670       4.148       7.826       5.786       8.889
